Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
International Student (Bachelor),Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,14,0,0,19,0,1,1,0.2333
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,6,13.42857143,1,0,20,0,1,1,0.28
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,5,12.33333333,1,0,45,0,1,1,0.18
Over 23 Years Old,Management (Evening Attendance),Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,5,11.5,5,11.85714286,1,0,50,1,1,1,0.2333
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.345,7,13.3,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.14285714,6,13.875,1,1,21,0,1,1,0.14
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,6,12.33333333,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.21428571,7,13.21428571,1,1,18,0,1,1,0.2067
Short Cycle Diploma Holders,Tourism,Female,Professional Higher Technical Course,5,11,6,10.57142857,1,1,21,0,1,1,0.1733
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,4,13.25,1,1,18,0,1,1,0.1533
3rd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,2,11,1,12,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.545,7,13.30625,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.25,4,12.5,1,0,20,0,1,1,0.2733
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,11.66666667,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,21,0,1,1,0.4467
3rd Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,11.425,7,11.4375,1,0,20,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.85714286,7,12.85714286,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.28571429,6,13.375,1,1,19,0,1,1,0.1467
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.11428571,6,13.29666667,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,5,11.6,1,1,18,1,1,1,0.14
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.28571429,6,11.375,1,0,21,0,1,1,0.3
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13,5,12.66666667,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.33333333,5,12,1,0,20,0,1,1,0.3067
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.71666667,6,12.93333333,1,0,19,0,1,1,0.3133
